lat_safBP12,lon_safBP12
-44.16428511312609,-1.8189894035458565e-12
-44.14989792574019,0.0833333358168602
-44.139062996432045,0.1666666716337204
-44.13283786835914,0.25
-44.12986127186493,0.3333333432674408
-44.130193478888714,0.4166666567325592
-44.1340667898945,0.5
-44.141578660347676,0.5833333134651184
-44.1521950711733,0.6666666865348816
-44.16649539147735,0.75
-44.18414210519672,0.8333333134651184
-44.205155488103365,0.9166666865348816
-44.22851833961628,1.0
-44.25401199058249,1.0833333730697632
-44.281771223751115,1.1666666269302368
-44.311167774847995,1.25
-44.341804500307354,1.3333333730697632
-44.373986511365025,1.4166666269302368
-44.40709350522863,1.5
-44.44066977639678,1.5833333730697632
-44.474618320826714,1.6666666269302368
-44.50901164038891,1.75
-44.54350932938712,1.8333333730697632
-44.577812899744266,1.9166666269302368
-44.61234272159597,2.0
-44.64669944594146,2.0833332538604736
-44.680418369320115,2.1666667461395264
-44.712758268275586,2.25
-44.744228329566,2.3333332538604736
-44.77471617250425,2.4166667461395264
-44.80376859734718,2.5
-44.83187018279256,2.5833332538604736
-44.85840371089006,2.6666667461395264
-44.88354229673086,2.75
-44.90733111498427,2.8333332538604736
-44.92868148067851,2.9166667461395264
-44.947507006260025,3.0
-44.963942419460835,3.0833332538604736
-44.9781467375175,3.1666667461395264
-44.990366219549145,3.25
-45.000593666416414,3.3333332538604736
-45.00786929574593,3.4166667461395264
-45.0126535005418,3.5
-45.014239929769396,3.5833332538604736
-45.01339345879024,3.6666667461395264
-45.00950530093393,3.75
-45.0026975711439,3.8333332538604736
-44.993821514556856,3.9166667461395264
-44.98204902921403,4.0
-44.96792121510447,4.083333492279053
-44.95074852660008,4.166666507720947
-44.931375058668614,4.25
-44.90889014961437,4.333333492279053
-44.884014389485486,4.416666507720947
-44.85632740851643,4.5
-44.82665698809177,4.583333492279053
-44.79452171556952,4.666666507720947
-44.75995964786153,4.75
-44.72344782652677,4.833333492279053
-44.68481873669531,4.916666507720947
-44.644858503484635,5.0
-44.6041107667018,5.083333492279053
-44.56301471328399,5.166666507720947
-44.52094525787144,5.25
-44.47922659086802,5.333333492279053
-44.43851731101882,5.416666507720947
-44.399152065240095,5.5
-44.36120392701823,5.583333492279053
-44.32509259441752,5.666666507720947
-44.290997053933516,5.75
-44.259072356913656,5.833333492279053
-44.22971927261016,5.916666507720947
-44.20317833417727,6.0
-44.17864091940447,6.083333492279053
-44.15674708184741,6.166666507720947
-44.137406531095074,6.25
-44.1204494527366,6.333333492279053
-44.10544036948491,6.416666507720947
-44.09229338834316,6.5
-44.080827500664576,6.583333492279053
-44.07103467530043,6.666666507720947
-44.06289852758774,6.75
-44.05637069757653,6.833333492279053
-44.05114463723735,6.916666507720947
-44.04706354546588,7.0
-44.04411250155649,7.083333492279053
-44.042154266594586,7.166666507720947
-44.04137432022699,7.25
-44.04158614510161,7.333333492279053
-44.04257878697107,7.416666507720947
-44.04463325542537,7.5
-44.047892588938346,7.583333492279053
-44.05202351381748,7.666666507720947
-44.057280662820865,7.75
-44.06336756113345,7.833333492279053
-44.07046254247164,7.916666507720947
-44.078423586303806,8.0
-44.08728912933793,8.083333015441895
-44.097086291632735,8.166666984558105
-44.107718023530595,8.25
-44.119212111249375,8.333333015441895
-44.131502468035116,8.416666984558105
-44.14517049061137,8.5
-44.15893705664908,8.583333015441895
-44.173248919137144,8.666666984558105
-44.18806906073602,8.75
-44.20318177810211,8.833333015441895
-44.218851333034515,8.916666984558105
-44.23511608181806,9.0
-44.25208669292443,9.083333015441895
-44.26890342347414,9.166666984558105
-44.28568828413726,9.25
-44.30209171045393,9.333333015441895
-44.318772945597466,9.416666984558105
-44.334827245051265,9.5
-44.3511524235172,9.583333015441895
-44.367266484004894,9.666666984558105
-44.383170888865436,9.75
-44.39879721484275,9.833333015441895
-44.41311494696077,9.916666984558105
-44.42515551198727,10.0
