lon,lat
0.9166666865348816,-44.323477536053105
1.0,-44.341654776298284
1.0339363099871406,-44.348876953125
1.0833333730697632,-44.359083142032624
1.1666666269302368,-44.37522741458706
1.25,-44.3902513514112
1.3333333730697632,-44.404802798654586
1.3532999553495542,-44.40843963623047
1.4166666269302368,-44.4198415974336
1.5,-44.43521337870622
1.5833333730697632,-44.450336843989184
1.6666666269302368,-44.4647397496075
1.6860046331679266,-44.46793746948242
1.75,-44.478247105167064
1.8333333730697632,-44.49107220903448
1.9166666269302368,-44.50323757804934
2.0,-44.51441490759228
2.0833332538604736,-44.52428100868722
2.1137983157072435,-44.52737808227539
2.1666667461395264,-44.532729017810176
2.25,-44.5398155714578
2.3333332538604736,-44.54561836489524
2.4166667461395264,-44.54988983196756
2.5,-44.55272076411083
