lat_stf,lat_saf,lat_pf,lon
-44.29199898900598,-57.84044009708223,-61.05307584538872,-172.3333282470703
-44.27397300638639,-57.84850670947389,-61.040496624882685,-172.25
-44.25607543757773,-57.85648123324862,-61.02851910009165,-172.1666717529297
-44.23886600543161,-57.86480097671454,-61.016278749437355,-172.0833282470703
-44.22326282051295,-57.87275219536332,-61.00437087017813,-172.0
-44.20721881728534,-57.880321872171265,-60.992532322865095,-171.9166717529297
-44.19125794467893,-57.8878687317325,-60.97995505701297,-171.8333282470703
-44.17604419797396,-57.89429256435003,-60.9676451827357,-171.75
-44.16130800619748,-57.89956639585881,-60.95526036283537,-171.6666717529297
-44.14828135213734,-57.90431472628624,-60.94337960879008,-171.5833282470703
-44.13466812468499,-57.90836211892452,-60.93168355124336,-171.5
-44.120832940787864,-57.912326841985106,-60.920306228523316,-171.4166717529297
-44.10587929709667,-57.9154260756141,-60.908928721199175,-171.3333282470703
-44.0897565824771,-57.91720846494879,-60.897399936268975,-171.25
-44.07253570105032,-57.91846220986974,-60.885812020907316,-171.1666717529297
-44.054074452474204,-57.918636863252665,-60.874958597953565,-171.0833282470703
-44.033113877584064,-57.918099356000376,-60.864210007716316,-171.0
-44.01072578912899,-57.91689578882181,-60.85322773098315,-170.9166717529297
-43.98705362386384,-57.91488080619294,-60.8427316292169,-170.8333282470703
-43.96149562289054,-57.913291329303114,-60.832473158785895,-170.75
-43.9329275453322,-57.91160262674671,-60.8230838918013,-170.6666717529297
-43.900871075524215,-57.90960222949005,-60.81332695898764,-170.5833282470703
-43.866885553558454,-57.907427303223386,-60.803959427392876,-170.5
-43.83192181045626,-57.90467556101515,-60.79509682106171,-170.4166717529297
-43.79554175826818,-57.90217383072699,-60.78641094750197,-170.3333282470703
-43.75851001673905,-57.90022861277194,-60.778425077450116,-170.25
-43.72068153562159,-57.898515570310884,-60.77025388021317,-170.1666717529297
-43.68174926074093,-57.897936969560284,-60.76288011215352,-170.0833282470703
-43.64204283946405,-57.89782462036797,-60.7558800795133,-170.0
-43.60085806024137,-57.89773302384364,-60.74938154967372,-169.9166717529297
-43.55778334180303,-57.898167714307334,-60.7434354818603,-169.8333282470703
-43.51193497025357,-57.89862059663843,-60.7376622220364,-169.75
-43.46547383760017,-57.89957150860439,-60.73186787425316,-169.6666717529297
